CandidateID,County,Votes
19544,GALLATIN,1220
19544,POPE,1190
19544,HARDIN,1075
19545,VERMILION,6859
19545,MADISON,4806
19545,COLES,4283
19545,CHAMPAIGN,3809
19545,MARION,3056
19545,CLINTON,2543
19545,EFFINGHAM,2272
19545,SHELBY,2024
19545,SALINE,1985
19545,CRAWFORD,1747
19545,EDGAR,1679
19545,WHITE,1564
19545,FAYETTE,1541
19545,CLARK,1342
19545,DOUGLAS,1190
19545,LAWRENCE,1163
19545,RICHLAND,1145
19545,WASHINGTON,1129
19545,MASSAC,1089
19545,BOND,1086
19545,MOULTRIE,1067
19545,JASPER,1010
19545,JOHNSON,962
19545,CUMBERLAND,954
19545,WAYNE,919
19545,WABASH,870
19545,CLAY,810
19545,HAMILTON,758
19545,GALLATIN,579
19545,EDWARDS,363
19545,HARDIN,361
19545,POPE,359
19545,FORD,328
19546,COOK,16433
19547,PUTNAM,1198
19548,PUTNAM,930
19549,KANE,35310
19550,COOK,64146
19551,JACKSON,12517
19551,PERRY,5449
19551,UNION,4526
19551,PULASKI,1939
19551,ALEXANDER,1706
19551,RANDOLPH,262
19551,MASSAC,11
19551,JOHNSON,0
19552,HENRY,14628
19552,BUREAU,10270
19552,STARK,1602
19552,ROCK ISLAND,141
19552,KNOX,128
19552,LEE,65
19552,MARSHALL,60
19552,WHITESIDE,15
19552,MERCER,6
19553,COLES,12409
19553,SHELBY,5980
19553,DOUGLAS,5371
19553,EDGAR,5366
19553,CLARK,4263
19553,MOULTRIE,3772
19553,CUMBERLAND,3237
19553,CHRISTIAN,529
19553,PIATT,430
19553,CHAMPAIGN,150
19553,FAYETTE,140
19553,MACON,58
19553,JASPER,48
19553,EFFINGHAM,6
19553,CRAWFORD,0
19554,SALINE,5363
19554,WHITE,4580
19554,WAYNE,3742
19554,WABASH,2948
19554,HAMILTON,1891
19554,EDWARDS,1437
19554,GALLATIN,1425
19554,POPE,1050
19554,WILLIAMSON,39
19554,JEFFERSON,24
19554,FRANKLIN,5
19554,RICHLAND,2
19554,LAWRENCE,0
19554,HARDIN,0
19555,WINNEBAGO,42553
19555,LaSALLE,23251
19555,OGLE,13058
19555,GRUNDY,10908
19555,BOONE,10753
19555,DeKALB,9494
19555,LIVINGSTON,8762
19555,BUREAU,8662
19555,IROQUOIS,7995
19555,LEE,7774
19555,WILL,6138
19555,FORD,2117
19555,PUTNAM,1598
19555,STARK,325
19556,WINNEBAGO,16908
19556,LaSALLE,11679
19556,DeKALB,6546
19556,GRUNDY,5412
19556,BOONE,4234
19556,OGLE,3901
19556,BUREAU,3882
19556,LEE,3338
19556,WILL,2834
19556,LIVINGSTON,2269
19556,IROQUOIS,1365
19556,PUTNAM,894
19556,FORD,429
19556,STARK,119
19557,COOK,17426
19558,KANKAKEE,27414
19558,IROQUOIS,7571
19558,LIVINGSTON,111
19558,FORD,13
19558,GRUNDY,13
19558,WILL,10
19559,LaSALLE,25047
19559,MARSHALL,2121
19559,PUTNAM,1910
19559,DeKALB,67
19559,BUREAU,9
19559,LEE,1
19560,ROCK ISLAND,20641
19560,HENRY,10049
19560,WHITESIDE,8134
19560,KNOX,7270
19560,STEPHENSON,6929
19560,WINNEBAGO,6300
19560,PEORIA,5884
19560,TAZEWELL,4965
19560,JoDAVIESS,4182
19560,FULTON,4128
19560,MERCER,3319
19560,WARREN,2846
19560,CARROLL,2780
19560,HENDERSON,1358
19561,ROCK ISLAND,24385
19561,WINNEBAGO,12588
19561,PEORIA,12492
19561,WHITESIDE,9431
19561,KNOX,8848
19561,HENRY,7637
19561,STEPHENSON,7633
19561,TAZEWELL,7213
19561,FULTON,6917
19561,JoDAVIESS,3524
19561,MERCER,3251
19561,CARROLL,2758
19561,WARREN,2619
19561,HENDERSON,1264
19562,COOK,15534
19563,COOK,21809
19564,SANGAMON,30504
19564,McLEAN,28198
19564,PEORIA,24136
19564,TAZEWELL,23660
19564,ADAMS,17648
19564,WOODFORD,10898
19564,MORGAN,8512
19564,LOGAN,6793
19564,McDONOUGH,5793
19564,PIKE,4401
19564,HANCOCK,4382
19564,MENARD,3743
19564,MASON,3495
19564,MARSHALL,3027
19564,CASS,2713
19564,SCHUYLER,2405
19564,SCOTT,1715
19564,BROWN,1258
19564,STARK,1082
19565,SANGAMON,10785
19565,McLEAN,9935
19565,PEORIA,9544
19565,TAZEWELL,7601
19565,ADAMS,4530
19565,WOODFORD,2940
19565,McDONOUGH,2715
19565,MORGAN,2648
19565,LOGAN,1808
19565,MASON,1775
19565,HANCOCK,1490
19565,PIKE,1321
19565,MARSHALL,1192
19565,MENARD,1079
19565,CASS,1057
19565,SCHUYLER,847
19565,SCOTT,442
19565,STARK,359
19565,BROWN,309
19566,COOK,28256
19567,COOK,20291
19568,COOK,39851
19569,COOK,18567
19570,COOK,55986
19571,COOK,24886
19572,COOK,44735
19572,WILL,4842
19573,SANGAMON,57735
19573,McLEAN,40633
19573,CHAMPAIGN,39284
19573,MACON,28937
19573,ADAMS,19426
19573,VERMILION,18268
19573,MACOUPIN,12432
19573,COLES,12278
19573,WOODFORD,11539
19573,LIVINGSTON,9499
19573,MORGAN,9470
19573,LOGAN,7071
19573,JERSEY,6113
19573,PIATT,6028
19573,DOUGLAS,5296
19573,EDGAR,5223
19573,DeWITT,4633
19573,PIKE,4449
19573,CLARK,4393
19573,MASON,4293
19573,MENARD,3999
19573,MOULTRIE,3910
19573,FORD,3861
19573,GREENE,3436
19573,CUMBERLAND,3385
19573,CASS,3078
19573,SCHUYLER,2672
19573,SCOTT,1757
19573,CALHOUN,1365
19573,BROWN,1230
19574,ST. CLAIR,37875
19575,ST. CLAIR,37086
19576,McHENRY,19045
19577,COOK,35620
19577,WILL,24129
19578,COOK,152985
19578,WILL,9283
19579,COOK,11710
19580,COOK,43662
19581,COOK,892922
19582,COOK,885004
19583,COOK,858672
19584,COOK,18879
19585,COOK,11354
19586,COOK,10725
19587,COOK,835944
19588,COOK,16956
19589,COOK,41515
19590,COOK,13244
19591,COOK,12382
19592,COOK,24810
19593,DuPAGE,52189
19593,WILL,9204
19594,COOK,5083
