CandidateID,CanFirstName,CanLastName,PartyName,OfficeName
15718,NAOMI D.,JAKOBSSON,DEMOCRATIC,103RD REPRESENTATIVE
15719,CHAD D.,HAYS,REPUBLICAN,104TH REPRESENTATIVE
15720,MICHAEL,PUHR,DEMOCRATIC,104TH REPRESENTATIVE
15721,SHANE,CULTRA,REPUBLICAN,105TH REPRESENTATIVE
15722,VINCE,LAMIE,GREEN,105TH REPRESENTATIVE
15723,KEITH P.,SOMMER,REPUBLICAN,106TH REPRESENTATIVE
15724,JOHN,CAVALETTO,REPUBLICAN,107TH REPRESENTATIVE
15725,JOSHUA,QUALLS,DEMOCRATIC,107TH REPRESENTATIVE
15726,DAVID B.,REIS,REPUBLICAN,108TH REPRESENTATIVE
15727,ROGER L.,EDDY,REPUBLICAN,109TH REPRESENTATIVE
15728,TIM,CYR,DEMOCRATIC,109TH REPRESENTATIVE
15729,MICHAEL D.,RISINGER,REPUBLICAN,10TH CIRCUIT- BARRA VACANCY
15730,ROBERT,DOLD,REPUBLICAN,10TH CONGRESS
15731,DANIEL J.,SEALS,DEMOCRATIC,10TH CONGRESS
15732,ANNAZETTE R.,COLLINS,DEMOCRATIC,10TH REPRESENTATIVE
15733,BRIAN G.,DOHERTY,REPUBLICAN,10TH SENATE
15734,JOHN G.,MULROE,DEMOCRATIC,10TH SENATE
15735,CHAPIN,ROSE,REPUBLICAN,110TH REPRESENTATIVE
15736,DENNIS,MALAK,DEMOCRATIC,110TH REPRESENTATIVE
15737,DANIEL V.,BEISER,DEMOCRATIC,111TH REPRESENTATIVE
15738,DWIGHT D.,KAY,REPUBLICAN,112TH REPRESENTATIVE
15739,JAY C.,HOFFMAN,DEMOCRATIC,112TH REPRESENTATIVE
15740,JOSEPH F.,AVELLONE,REPUBLICAN,113TH REPRESENTATIVE
15741,"THOMAS ""TOM""",HOLBROOK,DEMOCRATIC,113TH REPRESENTATIVE
15742,EDDIE LEE,JACKSON,DEMOCRATIC,114TH REPRESENTATIVE
15743,MIKE,BOST,REPUBLICAN,115TH REPRESENTATIVE
15744,CHARLIE,HOWE,GREEN,115TH REPRESENTATIVE
15745,GLENN C.,FARLEY,REPUBLICAN,116TH REPRESENTATIVE
15746,DAN,REITZ,DEMOCRATIC,116TH REPRESENTATIVE
15747,JOHN,BRADLEY,DEMOCRATIC,117TH REPRESENTATIVE
15748,BRANDON W.,PHELPS,DEMOCRATIC,118TH REPRESENTATIVE
15749,JORGE L.,ORTIZ,REPUBLICAN,19TH CIRCUIT- 6TH SUBCIRCUIT - A VACANCY
15750,MICHAEL J.,"PERILLO, JR.",DEMOCRATIC,19TH CIRCUIT- 6TH SUBCIRCUIT - A VACANCY
15751,ADAM,KINZINGER,REPUBLICAN,11TH CONGRESS
15752,"DEBORAH ""DEBBIE""",HALVORSON,DEMOCRATIC,11TH CONGRESS
15753,SCOTT,TUCKER,REPUBLICAN,11TH REPRESENTATIVE
15754,ANN M.,WILLIAMS,DEMOCRATIC,11TH REPRESENTATIVE
15755,"BARBARA N. ""BOBBI""",PETRUNGARO,REPUBLICAN,12TH CIRCUIT- 5TH SUBCIRCUIT - A VACANCY
15756,TERI,NEWMAN,REPUBLICAN,12TH CONGRESS
15757,JERRY F.,COSTELLO,DEMOCRATIC,12TH CONGRESS
15758,RODGER W.,JENNINGS,GREEN,12TH CONGRESS
15759,SARA,FEIGENHOLTZ,DEMOCRATIC,12TH REPRESENTATIVE
15760,JUDY,BIGGERT,REPUBLICAN,13TH CONGRESS
15761,SCOTT,HARPER,DEMOCRATIC,13TH CONGRESS
15762,GREGORY,HARRIS,DEMOCRATIC,13TH REPRESENTATIVE
15763,KWAME,RAOUL,DEMOCRATIC,13TH SENATE
15764,FRANK R.,FUHR,DEMOCRATIC,14TH CIRCUIT- BEATTY VACANCY
15765,"RANDALL M. ""RANDY""",HULTGREN,REPUBLICAN,14TH CONGRESS
15766,BILL,FOSTER,DEMOCRATIC,14TH CONGRESS
15767,DANIEL J,KAIRIS,GREEN,14TH CONGRESS
15768,HARRY,OSTERMAN,DEMOCRATIC,14TH REPRESENTATIVE
15769,RAY,NASH,REPUBLICAN,12TH CIRCUIT- 3RD SUBCIRCUIT - A VACANCY
15770,JOHN,ANDERSON,DEMOCRATIC,12TH CIRCUIT- 3RD SUBCIRCUIT - A VACANCY
15771,TIMOTHY V.,JOHNSON,REPUBLICAN,15TH CONGRESS
15772,DAVID,GILL,DEMOCRATIC,15TH CONGRESS
15773,JOHN C.,D'AMICO,DEMOCRATIC,15TH REPRESENTATIVE
15774,WAYNE M.,"KWIAT, SR.",REPUBLICAN,12TH CIRCUIT- 4TH SUBCIRCUIT - A VACANCY
15775,CARMEN,GOODMAN,DEMOCRATIC,12TH CIRCUIT- 4TH SUBCIRCUIT - A VACANCY
15776,KEVIN T.,BUSCH,REPUBLICAN,16TH CIRCUIT- GROMETER VACANCY
15777,DONALD A.,MANZULLO,REPUBLICAN,16TH CONGRESS
15778,GEORGE W.,GAULRAPP,DEMOCRATIC,16TH CONGRESS
15779,TERRY G.,CAMPBELL,GREEN,16TH CONGRESS
15780,LOU,LANG,DEMOCRATIC,16TH REPRESENTATIVE
15781,"JACQUELINE ""JACQUI""",COLLINS,DEMOCRATIC,16TH SENATE
15782,RICHARD,BLACK,REPUBLICAN,13TH CIRCUIT - A VACANCY
15783,LANCE R.,PETERSON,DEMOCRATIC,13TH CIRCUIT - A VACANCY
15784,BOBBY,SCHILLING,REPUBLICAN,17TH CONGRESS
15785,PHIL,HARE,DEMOCRATIC,17TH CONGRESS
15786,ROGER K.,DAVIS,GREEN,17TH CONGRESS
15787,HAMILTON,CHANG,REPUBLICAN,17TH REPRESENTATIVE
15788,DANIEL K.,BISS,DEMOCRATIC,17TH REPRESENTATIVE
15789,AARON,SCHOCK,REPUBLICAN,18TH CONGRESS
15790,"DEIRDRE ""DK""",HIRNER,DEMOCRATIC,18TH CONGRESS
15791,SHELDON,SCHAFER,GREEN,18TH CONGRESS
15792,ROBYN,GABEL,DEMOCRATIC,18TH REPRESENTATIVE
15793,JAMES P.,HURSH,REPUBLICAN,17TH CIRCUIT-  A VACANCY
15794,DIANE E.,WINTER,REPUBLICAN,19TH CIRCUIT- 5TH SUBCIRCUIT - A VACANCY
15795,TIMOTHY M.,HOWE,DEMOCRATIC,19TH CIRCUIT- 5TH SUBCIRCUIT - A VACANCY
15796,JOHN M.,SHIMKUS,REPUBLICAN,19TH CONGRESS
15797,TIM,BAGWELL,DEMOCRATIC,19TH CONGRESS
15798,DAVID J.,ANDERSON,REPUBLICAN,19TH REPRESENTATIVE
15799,JOSEPH M.,LYONS,DEMOCRATIC,19TH REPRESENTATIVE
15800,M. MAGGIE,CROTTY,DEMOCRATIC,19TH SENATE
15801,JAMES R.,EPSTEIN,DEMOCRATIC,1ST APPELLATE - McNULTY VACANCY
15802,AURELIA MARIE,PUCINSKI,DEMOCRATIC,1ST APPELLATE - O'MALLEY VACANCY
15803,ROBERT P.,LIVAS,REPUBLICAN,12TH CIRCUIT- 1ST SUBCIRCUIT - PETKA VACANCY
15804,BOBBY L.,RUSH,DEMOCRATIC,1ST CONGRESS
15805,JEFF,ADAMS,GREEN,1ST CONGRESS
15806,SUSANA,MENDOZA,DEMOCRATIC,1ST REPRESENTATIVE
15807,"ANTONIO ""TONY""",MUNOZ,DEMOCRATIC,1ST SENATE
15808,MICHAEL P.,MCAULIFFE,REPUBLICAN,20TH REPRESENTATIVE
15809,MICHAEL J.,ZALEWSKI,DEMOCRATIC,21ST REPRESENTATIVE
15810,ANN B.,JORGENSEN,REPUBLICAN,2ND APPELLATE - CALLUM VACANCY
15811,PATRICK JOHN,RYAN,REPUBLICAN,22ND REPRESENTATIVE
15812,MICHAEL J.,MADIGAN,DEMOCRATIC,22ND REPRESENTATIVE
15813,STEVEN J.,RAUSCHENBERGER,REPUBLICAN,22ND SENATE
15814,MICHAEL,NOLAND,DEMOCRATIC,22ND SENATE
15815,DANIEL J.,BURKE,DEMOCRATIC,23RD REPRESENTATIVE
15816,"ELIZABETH ""LISA""",HERNANDEZ,DEMOCRATIC,24TH REPRESENTATIVE
15817,THOMAS R.,APPLETON,REPUBLICAN,4TH APPELLATE - COOK VACANCY
15818,BARBARA FLYNN,CURRIE,DEMOCRATIC,25TH REPRESENTATIVE
15819,CHRIS,LAUZEN,REPUBLICAN,25TH SENATE
15820,LESLIE N.,JUBY,DEMOCRATIC,25TH SENATE
15821,"SYLVESTER ""JUNEBUG",HENDRICKS,REPUBLICAN,26TH REPRESENTATIVE
15822,"WILLIAM D. ""WILL""",BURNS,DEMOCRATIC,26TH REPRESENTATIVE
15823,MONIQUE D.,DAVIS,DEMOCRATIC,27TH REPRESENTATIVE
15824,"STEVEN JAMES ""STEVE""",BERNSTEIN,DEMOCRATIC,COOK CIRCUIT - 9TH SUBCIRCUIT - A VACANCY
15825,"ROBERT ""BOB""",RITA,DEMOCRATIC,28TH REPRESENTATIVE
15826,JOHN J.,MILLNER,REPUBLICAN,28TH SENATE
15827,CORINNE MICHELLE,PIEROG,DEMOCRATIC,28TH SENATE
15828,THADDEUS,JONES,DEMOCRATIC,29TH REPRESENTATIVE
15829,ISAAC C.,HAYES,REPUBLICAN,2ND CONGRESS
15830,JESSE L.,"JACKSON, JR.",DEMOCRATIC,2ND CONGRESS
15831,ANTHONY W.,WILLIAMS,GREEN,2ND CONGRESS
15832,EDWARD J.,ACEVEDO,DEMOCRATIC,2ND REPRESENTATIVE
15833,"WILLIAM ""WILL""",DAVIS,DEMOCRATIC,30TH REPRESENTATIVE
15834,MARY E.,FLOWERS,DEMOCRATIC,31ST REPRESENTATIVE
15835,SUZI,SCHMIDT,REPUBLICAN,31ST SENATE
15836,MICHAEL,BOND,DEMOCRATIC,31ST SENATE
15837,ANDR╔,THAPEDI,DEMOCRATIC,32ND REPRESENTATIVE
15838,MARLOW H.,COLVIN,DEMOCRATIC,33RD REPRESENTATIVE
15839,MARY KATHERINE,ROCHFORD,DEMOCRATIC,1ST APPELLATE - SOUTH VACANCY
15840,"CONSTANCE A. ""CONNIE""",HOWARD,DEMOCRATIC,34TH REPRESENTATIVE
15841,DAVE,SYVERSON,REPUBLICAN,34TH SENATE
15843,BARBARA RUTH,BELLAR,REPUBLICAN,35TH REPRESENTATIVE
15845,RICHARD L.,GRABOWSKI,REPUBLICAN,36TH REPRESENTATIVE
15846,KELLY M.,BURKE,DEMOCRATIC,36TH REPRESENTATIVE
15847,MARY S.,SCHOSTOK,REPUBLICAN,2ND APPELLATE - GILLERAN-JOHNSON VACANCY
15848,JEFFREY L.,JUNKAS,REPUBLICAN,37TH REPRESENTATIVE
15849,KEVIN A.,MCCARTHY,DEMOCRATIC,37TH REPRESENTATIVE
15850,DALE E.,RISINGER,REPUBLICAN,37TH SENATE
15851,AL,RILEY,DEMOCRATIC,38TH REPRESENTATIVE
15852,"MARIA ANTONIA ""TONI""",BERRIOS,DEMOCRATIC,39TH REPRESENTATIVE
15853,JEREMY,KARPEN,GREEN,39TH REPRESENTATIVE
15854,SANDRA G.,RAMOS,DEMOCRATIC,COOK CIRCUIT- RILEY VACANCY
15855,EDWARD,HARMENING,DEMOCRATIC,COOK CIRCUIT - 3RD SUBCIRCUIT - DARCY VACANCY
15856,MICHAEL J.,POWERS,REPUBLICAN,12TH CIRCUIT- WHITE VACANCY
15857,GARY S.,MUELLER,DEMOCRATIC,12TH CIRCUIT- WHITE VACANCY
15858,MAUREEN MASTERSON,PULIA,REPUBLICAN,COOK CIRCUIT- McCARTHY VACANCY
15859,DANIEL J.,GALLAGHER,DEMOCRATIC,COOK CIRCUIT- McCARTHY VACANCY
15860,MICHAEL A,BENDAS,REPUBLICAN,3RD CONGRESS
15861,DANIEL WILLIAM,LIPINSKI,DEMOCRATIC,3RD CONGRESS
15862,LAUREL LAMBERT,SCHMIDT,GREEN,3RD CONGRESS
15863,LUIS,ARROYO,DEMOCRATIC,3RD REPRESENTATIVE
15864,GEORGE F.,SCULLY,DEMOCRATIC,COOK CIRCUIT - 15TH SUBCIRCUIT - PANICHI VACANCY
15865,DEBORAH L.,MELL,DEMOCRATIC,40TH REPRESENTATIVE
15866,ADAM,BAUMGARTNER,REPUBLICAN,40TH SENATE
15867,TOI W.,HUTCHINSON,DEMOCRATIC,40TH SENATE
15868,CHRIS,NYBO,REPUBLICAN,41ST REPRESENTATIVE
15869,BRIAN J.,STEPHENSON,DEMOCRATIC,41ST REPRESENTATIVE
15870,SANDRA M.,PIHOS,REPUBLICAN,42ND REPRESENTATIVE
15871,KATHRYN F.,VLAHOS,DEMOCRATIC,42ND REPRESENTATIVE
15872,RUTH,MUNSON,REPUBLICAN,43RD REPRESENTATIVE
15873,KEITH,FARNHAM,DEMOCRATIC,43RD REPRESENTATIVE
15874,"ARTHUR ""A.J.""",WILHELMI,DEMOCRATIC,43RD SENATE
15875,BILLIE D.,ROTH,REPUBLICAN,44TH REPRESENTATIVE
15876,FRED,CRESPO,DEMOCRATIC,44TH REPRESENTATIVE
15877,FRANCO,COLADIPIETRO,REPUBLICAN,45TH REPRESENTATIVE
15879,DENNIS M.,REBOLETTI,REPUBLICAN,46TH REPRESENTATIVE
15880,DEBORAH O'KEEFE,CONROY,DEMOCRATIC,46TH REPRESENTATIVE
15881,DAVID,KOEHLER,DEMOCRATIC,46TH SENATE
15882,"PATRICIA R. ""PATTI""",BELLOCK,REPUBLICAN,47TH REPRESENTATIVE
15883,"JAMES F. ""JIM""",SPETA,DEMOCRATIC,47TH REPRESENTATIVE
15884,BOB,MUELLER,GREEN,47TH REPRESENTATIVE
15885,MICHAEL G.,CONNELLY,REPUBLICAN,48TH REPRESENTATIVE
15886,BARBARA,GREEN,DEMOCRATIC,48TH REPRESENTATIVE
15887,TIMOTHY L.,SCHMITZ,REPUBLICAN,49TH REPRESENTATIVE
15888,JENNIFER,BARCONI,DEMOCRATIC,49TH REPRESENTATIVE
15889,"WILLIAM ""SAM""",MCCANN,REPUBLICAN,49TH SENATE
15890,DEANNA,DEMUZIO,DEMOCRATIC,49TH SENATE
15891,DOUGLAS L.,JARMAN,REPUBLICAN,4TH CIRCUIT- COADY VACANCY
15892,MICHELLE,COADY,DEMOCRATIC,4TH CIRCUIT- COADY VACANCY
15893,MARK W.,STEDELIN,REPUBLICAN,4TH CIRCUIT- SAUER VACANCY
15894,EDDIE,VELTMAN,DEMOCRATIC,4TH CIRCUIT- SAUER VACANCY
15895,LUIS V.,GUTIERREZ,DEMOCRATIC,4TH CONGRESS
15896,ROBERT J.,BURNS,GREEN,4TH CONGRESS
15897,CYNTHIA,SOTO,DEMOCRATIC,4TH REPRESENTATIVE
15898,KIMBERLY A.,LIGHTFORD,DEMOCRATIC,4TH SENATE
15899,KAY,HATCHER,REPUBLICAN,50TH REPRESENTATIVE
15900,LINDA,HEALY,DEMOCRATIC,50TH REPRESENTATIVE
15901,ED,"SULLIVAN, JR.",REPUBLICAN,51ST REPRESENTATIVE
15902,STEVE,RIESS,DEMOCRATIC,51ST REPRESENTATIVE
15903,KYLE,MCCARTER,REPUBLICAN,51ST SENATE
15904,TIM,DUDLEY,DEMOCRATIC,51ST SENATE
15905,MARK H.,"BEAUBIEN, JR.",REPUBLICAN,52ND REPRESENTATIVE
15906,MICHAEL W.,FRERICHS,DEMOCRATIC,52ND SENATE
15907,SIDNEY H.,MATHIAS,REPUBLICAN,53RD REPRESENTATIVE
15908,LINDA,BIRNBAUM,DEMOCRATIC,53RD REPRESENTATIVE
15909,"THOMAS R. ""TOM""",MORRISON,REPUBLICAN,54TH REPRESENTATIVE
15910,MATT,FLAMM,DEMOCRATIC,54TH REPRESENTATIVE
15911,DENNIS,MIDDENDORFF,DEMOCRATIC,4TH CIRCUIT- HITPAS VACANCY
15912,RANDY,RAMEY,REPUBLICAN,55TH REPRESENTATIVE
15913,GREGORY C.,BROWNFIELD,DEMOCRATIC,55TH REPRESENTATIVE
15914,DALE A.,RIGHTER,REPUBLICAN,55TH SENATE
15915,RYAN,HIGGINS,REPUBLICAN,56TH REPRESENTATIVE
15916,MICHELLE,MUSSMAN,DEMOCRATIC,56TH REPRESENTATIVE
15917,RICHARD G.,HAMEN,REPUBLICAN,57TH REPRESENTATIVE
15918,ELAINE,NEKRITZ,DEMOCRATIC,57TH REPRESENTATIVE
15919,ROBERT,ADRIAN,REPUBLICAN,8TH CIRCUIT - SCHUERING VACANCY
15920,CHRISTOPHER G.,SCHOLZ,DEMOCRATIC,8TH CIRCUIT - SCHUERING VACANCY
15921,LAUREN G.,TURELLI,REPUBLICAN,58TH REPRESENTATIVE
15922,KAREN,MAY,DEMOCRATIC,58TH REPRESENTATIVE
15923,DAVID,LUECHTEFELD,REPUBLICAN,58TH SENATE
15924,JEREMY RANDAL,WALKER,DEMOCRATIC,58TH SENATE
15925,DAN,SUGRUE,REPUBLICAN,59TH REPRESENTATIVE
15926,CAROL,SENTE,DEMOCRATIC,59TH REPRESENTATIVE
15927,ALAN,TUCKER,DEMOCRATIC,8TH CIRCUIT - BROWNFIELD VACANCY
15928,MATT,SULLIVAN,REPUBLICAN,5TH CIRCUIT- CINI VACANCY
15929,DAVID,RATOWITZ,REPUBLICAN,5TH CONGRESS
15930,MIKE,QUIGLEY,DEMOCRATIC,5TH CONGRESS
15931,MATTHEW,REICHEL,GREEN,5TH CONGRESS
15932,"KENNETH ""KEN""",DUNKIN,DEMOCRATIC,5TH REPRESENTATIVE
15934,JoANN D.,OSMOND,REPUBLICAN,61ST REPRESENTATIVE
15935,SCOTT,POLLAK,DEMOCRATIC,61ST REPRESENTATIVE
15936,SANDY,COLE,REPUBLICAN,62ND REPRESENTATIVE
15937,RICH,VOLTAIR,DEMOCRATIC,62ND REPRESENTATIVE
15938,JOHN,O'NEILL,REPUBLICAN,63RD REPRESENTATIVE
15939,JACK D.,FRANKS,DEMOCRATIC,63RD REPRESENTATIVE
15940,MICHAEL W.,TRYON,REPUBLICAN,64TH REPRESENTATIVE
15941,ROBERT,KAEMPFE,DEMOCRATIC,64TH REPRESENTATIVE
15942,ROSEMARY E.,MULLIGAN,REPUBLICAN,65TH REPRESENTATIVE
15943,DAVID,HARRIS,REPUBLICAN,66TH REPRESENTATIVE
15944,MARK,WALKER,DEMOCRATIC,66TH REPRESENTATIVE
15945,ROBERT E.,"BROKISH, JR.",REPUBLICAN,67TH REPRESENTATIVE
15946,"CHARLES E. ""CHUCK""",JEFFERSON,DEMOCRATIC,67TH REPRESENTATIVE
15947,DAVE,WINTERS,REPUBLICAN,68TH REPRESENTATIVE
15949,GERRY,WOODS,GREEN,68TH REPRESENTATIVE
15950,JOE,SOSNOWSKI,REPUBLICAN,69TH REPRESENTATIVE
15951,RAY,PENDZINSKI,DEMOCRATIC,69TH REPRESENTATIVE
15952,DANIEL (DAN),LINDSEY,GREEN,69TH REPRESENTATIVE
15953,LISA HOLDER,WHITE,REPUBLICAN,6TH CIRCUIT- GREANIAS VACANCY
15954,GARRY W.,BRYAN,REPUBLICAN,6TH CIRCUIT- PETERS VACANCY
15955,PETER J.,ROSKAM,REPUBLICAN,6TH CONGRESS
15956,BENJAMIN S.,LOWE,DEMOCRATIC,6TH CONGRESS
15957,ESTHER,GOLAR,DEMOCRATIC,6TH REPRESENTATIVE
15958,ROBERT W.,PRITCHARD,REPUBLICAN,70TH REPRESENTATIVE
15959,RICHARD,MORTHLAND,REPUBLICAN,71ST REPRESENTATIVE
15960,DENNIS,AHERN,DEMOCRATIC,71ST REPRESENTATIVE
15961,MARK,LIOEN,REPUBLICAN,72ND REPRESENTATIVE
15962,PATRICK,VERSCHOORE,DEMOCRATIC,72ND REPRESENTATIVE
15963,DAVID R.,LEITCH,REPUBLICAN,73RD REPRESENTATIVE
15964,DONALD L.,MOFFITT,REPUBLICAN,74TH REPRESENTATIVE
15965,ELIZABETH,DOUBLE,DEMOCRATIC,74TH REPRESENTATIVE
15966,SUE,REZIN,REPUBLICAN,75TH REPRESENTATIVE
15967,CAREEN M.,GORDON,DEMOCRATIC,75TH REPRESENTATIVE
15968,FRANK J.,MAUTINO,DEMOCRATIC,76TH REPRESENTATIVE
15969,"ANGELO ""SKIP""",SAVIANO,REPUBLICAN,77TH REPRESENTATIVE
15971,NICK,BEEN,REPUBLICAN,79TH REPRESENTATIVE
15972,LISA M.,DUGAN,DEMOCRATIC,79TH REPRESENTATIVE
15973,GEORGE,OCHSENFELD,GREEN,79TH REPRESENTATIVE
15974,PETE,CAVANAGH,REPUBLICAN,7TH CIRCUIT- EGGERS VACANCY
15975,SUSAN CLANCY,BOLES,REPUBLICAN,16TH CIRCUIT- 4TH SUBCIRCUIT - A VACANCY
15976,RAYMOND E. (RAY),ROSSI,REPUBLICAN,12TH CIRCUIT- 5TH SUBCIRCUIT - B VACANCY
15977,BRIAN,BARRETT,DEMOCRATIC,12TH CIRCUIT- 5TH SUBCIRCUIT - B VACANCY
15978,MARK M.,WEIMAN,REPUBLICAN,7TH CONGRESS
15979,DANNY K.,DAVIS,DEMOCRATIC,7TH CONGRESS
15981,KAREN A.,YARBROUGH,DEMOCRATIC,7TH REPRESENTATIVE
15982,ADAM,ROBINSON,REPUBLICAN,7TH SENATE
15983,HEATHER A.,STEANS,DEMOCRATIC,7TH SENATE
15984,ANTHONY,DELUCA,DEMOCRATIC,80TH REPRESENTATIVE
15985,REN╔E,KOSEL,REPUBLICAN,81ST REPRESENTATIVE
15986,JOHN F.,UNHOCH,DEMOCRATIC,81ST REPRESENTATIVE
15987,JIM,DURKIN,REPUBLICAN,82ND REPRESENTATIVE
15988,MATTHEW T.,MOSTOWIK,DEMOCRATIC,82ND REPRESENTATIVE
15989,LINDA CHAPA,LAVIA,DEMOCRATIC,83RD REPRESENTATIVE
15990,TOM,CROSS,REPUBLICAN,84TH REPRESENTATIVE
15991,DENNIS,GROSSKOPF,DEMOCRATIC,84TH REPRESENTATIVE
15992,MARIPAT,OLIVER,REPUBLICAN,85TH REPRESENTATIVE
15993,EMILY,MCASEY,DEMOCRATIC,85TH REPRESENTATIVE
15994,JACK,MCGUIRE,DEMOCRATIC,86TH REPRESENTATIVE
15995,BILL,MITCHELL,REPUBLICAN,87TH REPRESENTATIVE
15996,GEORGE H.,WISSMILLER,DEMOCRATIC,87TH REPRESENTATIVE
15997,DAN,BRADY,REPUBLICAN,88TH REPRESENTATIVE
15998,JIM,SACIA,REPUBLICAN,89TH REPRESENTATIVE
15999,RICHARD A.,BROWN,DEMOCRATIC,"20TH CIRCUIT- SCHUWERK, JR. VACANCY"
16000,JOE,WALSH,REPUBLICAN,8TH CONGRESS
16001,MELISSA,BEAN,DEMOCRATIC,8TH CONGRESS
16002,BILL,SCHEURER,GREEN,8TH CONGRESS
16003,LA SHAWN K.,FORD,DEMOCRATIC,8TH REPRESENTATIVE
16004,JERRY L.,MITCHELL,REPUBLICAN,90TH REPRESENTATIVE
16005,KENNETH J,NOVAK,DEMOCRATIC,90TH REPRESENTATIVE
16006,MICHAEL D.,UNES,REPUBLICAN,91ST REPRESENTATIVE
16007,MICHAEL K.,SMITH,DEMOCRATIC,91ST REPRESENTATIVE
16008,JIM,MONTELONGO,REPUBLICAN,92ND REPRESENTATIVE
16009,JEHAN,GORDON,DEMOCRATIC,92ND REPRESENTATIVE
16010,JIL,TRACY,REPUBLICAN,93RD REPRESENTATIVE
16011,"RICHARD P. ""RICH""",MYERS,REPUBLICAN,94TH REPRESENTATIVE
16012,EARL W.,GODT II,DEMOCRATIC,94TH REPRESENTATIVE
16013,MIKE,FORTNER,REPUBLICAN,95TH REPRESENTATIVE
16014,DARLENE,SENGER,REPUBLICAN,96TH REPRESENTATIVE
16015,DAWN,DESART,DEMOCRATIC,96TH REPRESENTATIVE
16016,JIM,WATSON,REPUBLICAN,97TH REPRESENTATIVE
16017,WAYNE ARTHUR,ROSENTHAL,REPUBLICAN,98TH REPRESENTATIVE
16018,CHARLES,LANDERS,DEMOCRATIC,98TH REPRESENTATIVE
16019,RAYMOND,POE,REPUBLICAN,99TH REPRESENTATIVE
16020,KENT E.,DELAY,DEMOCRATIC,99TH REPRESENTATIVE
16021,JOEL BARRY,POLLAK,REPUBLICAN,9TH CONGRESS
16022,JANICE D.,SCHAKOWSKY,DEMOCRATIC,9TH CONGRESS
16023,SIMON,RIBEIRO,GREEN,9TH CONGRESS
16024,ARTHUR,TURNER,DEMOCRATIC,9TH REPRESENTATIVE
16025,DEBBIE,NIEDERHAUSER,REPUBLICAN,ADAMS / PIKE - SUPERINTENDENT OF SCHOOLS
16026,DONNA (HILDEBRAND),VEILE,DEMOCRATIC,ADAMS / PIKE - SUPERINTENDENT OF SCHOOLS
16027,JANET,ULRICH,REPUBLICAN,ALEXANDER / JOHNSON / MASSAC ETC.- SUPT. OF SCHOOL
16028,STEVE,KIM,REPUBLICAN,ATTORNEY GENERAL
16029,LISA,MADIGAN,DEMOCRATIC,ATTORNEY GENERAL
16030,DAVID F.,BLACK,GREEN,ATTORNEY GENERAL
16031,MARK A.,DRONE,DEMOCRATIC,BOND / EFFINGHAM / FAYETTE - SUPT. OF SCHOOLS
16032,LORI A.,FANELLO,REPUBLICAN,BOONE / WINNEBAGO - SUPERINTENDENT OF SCHOOLS
16033,STEPHEN,BREESE,DEMOCRATIC,BROWN / CASS / MORGAN / SCOTT- SUPT. OF SCHOOLS
16034,ANGIE,ZARVELL,REPUBLICAN,BUREAU / HENRY / STARK - SUPT. OF SCHOOLS
