Household Income,Population,Median Age,Per Capita Income,Poverty Count,county_id,census_year,county
39800.0,52447.0,41.5,22273.0,8572.0,095,2014,Knox
43092.0,15148.0,43.3,23190.0,2838.0,127,2014,Massac
57052.0,135872.0,40.4,28953.0,12407.0,179,2014,Tazewell
45741.0,18808.0,45.8,24418.0,2237.0,067,2014,Hancock
65197.0,50173.0,36.8,29439.0,4622.0,063,2014,Grundy
51000.0,112682.0,37.3,24117.0,17207.0,091,2014,Kankakee
79016.0,926485.0,38.7,38931.0,65317.0,043,2014,DuPage
25495.0,7821.0,39.8,14052.0,2761.0,003,2014,Alexander
59989.0,12658.0,42.7,29391.0,1208.0,129,2014,Menard
51232.0,112698.0,41.6,25668.0,14175.0,099,2014,LaSalle
54828.0,5227827.0,35.7,30468.0,886261.0,031,2014,Cook
46696.0,109833.0,40.5,26259.0,19262.0,115,2014,Macon
46524.0,35272.0,40.9,24822.0,4650.0,137,2014,Morgan
44535.0,16627.0,42.8,23897.0,2533.0,191,2014,Wayne
68119.0,38965.0,40.4,30300.0,3059.0,203,2014,Woodford
37333.0,39774.0,41.7,20591.0,7632.0,055,2014,Franklin
37959.0,32388.0,29.9,20592.0,6664.0,109,2014,McDonough
76345.0,307888.0,38.9,33118.0,23256.0,111,2014,McHenry
50728.0,268415.0,37.5,26459.0,46912.0,163,2014,St.
47438.0,14896.0,41.1,23801.0,2083.0,139,2014,Moultrie
40532.0,22034.0,40.8,19999.0,3391.0,145,2014,Perry
39395.0,4362.0,48.0,21431.0,686.0,151,2014,Pope
47411.0,22216.0,44.2,23279.0,2518.0,173,2014,Shelby
46680.0,204214.0,29.2,26087.0,42662.0,019,2014,Champaign
52661.0,5033.0,45.8,26446.0,578.0,013,2014,Calhoun
48908.0,13906.0,43.1,25495.0,1580.0,053,2014,Ford
52065.0,22427.0,48.2,29477.0,1988.0,085,2014,Jo
83844.0,118194.0,33.7,31110.0,6830.0,093,2014,Kendall
39569.0,16726.0,40.5,14208.0,1450.0,101,2014,Lawrence
41783.0,38922.0,41.5,22398.0,6906.0,121,2014,Marion
42476.0,14309.0,44.9,23937.0,2341.0,125,2014,Mason
47184.0,29272.0,43.7,25234.0,4399.0,075,2014,Iroquois
43189.0,13675.0,42.7,22160.0,1852.0,025,2014,Clay
40721.0,5439.0,45.0,22890.0,907.0,059,2014,Gallatin
69592.0,33373.0,41.7,33059.0,1786.0,133,2014,Monroe
51454.0,187197.0,36.8,28414.0,30832.0,143,2014,Peoria
47523.0,292026.0,38.9,24802.0,50138.0,201,2014,Winnebago
63002.0,16552.0,43.0,31750.0,1105.0,147,2014,Piatt
33946.0,5967.0,43.6,19575.0,1093.0,153,2014,Pulaski
48575.0,7454.0,44.7,23852.0,1257.0,169,2014,Schuyler
52956.0,5888.0,45.4,27104.0,570.0,175,2014,Stark
43075.0,18171.0,43.4,25018.0,3164.0,045,2014,Edgar
48120.0,17571.0,40.2,23232.0,2524.0,005,2014,Bond
60166.0,54005.0,38.1,25950.0,6388.0,007,2014,Boone
49921.0,34361.0,43.2,26587.0,4069.0,011,2014,Bureau
49629.0,15027.0,47.2,26918.0,1940.0,015,2014,Carroll
38174.0,53655.0,32.4,22464.0,11314.0,029,2014,Coles
46057.0,19626.0,42.4,25613.0,2523.0,033,2014,Crawford
54391.0,22751.0,42.1,26154.0,1584.0,083,2014,Jersey
55360.0,5895.0,45.2,28158.0,616.0,155,2014,Putnam
53129.0,16461.0,42.4,27575.0,2042.0,039,2014,De
44603.0,22041.0,40.2,21845.0,3364.0,051,2014,Fayette
52004.0,35248.0,41.8,24943.0,3501.0,103,2014,Lee
49882.0,30047.0,39.6,21986.0,3029.0,107,2014,Logan
50911.0,47229.0,42.1,25402.0,5729.0,117,2014,Macoupin
44514.0,16144.0,42.8,23996.0,2369.0,159,2014,Richland
52761.0,14527.0,42.9,27996.0,1750.0,189,2014,Washington
45158.0,29740.0,41.6,20067.0,3514.0,135,2014,Montgomery
45472.0,67113.0,40.4,24247.0,9415.0,001,2014,Adams
62407.0,37952.0,40.1,28255.0,3340.0,027,2014,Clinton
42779.0,6687.0,43.4,21896.0,830.0,047,2014,Edwards
43173.0,38716.0,40.9,22849.0,6307.0,081,2014,Jefferson
42548.0,80773.0,39.9,21924.0,14965.0,183,2014,Vermilion
43855.0,66808.0,40.7,24096.0,9877.0,199,2014,Williamson
50412.0,16240.0,43.3,25061.0,2104.0,023,2014,Clark
52374.0,34280.0,39.2,26774.0,3513.0,049,2014,Effingham
45938.0,36616.0,42.4,22478.0,5103.0,057,2014,Fulton
41801.0,8371.0,43.0,23160.0,1371.0,065,2014,Hamilton
52518.0,50031.0,41.9,26845.0,5299.0,073,2014,Henry
41414.0,12650.0,42.8,19684.0,1617.0,087,2014,Johnson
77873.0,703170.0,37.2,38459.0,64432.0,097,2014,Lake
54723.0,38476.0,41.0,25831.0,3718.0,105,2014,Livingston
48500.0,5260.0,43.3,24395.0,706.0,171,2014,Scott
47443.0,13440.0,39.6,23423.0,1768.0,017,2014,Cass
43683.0,17784.0,39.2,22923.0,2578.0,187,2014,Warren
51549.0,18112.0,46.0,26880.0,2132.0,067,2018,Hancock
